Gender_Person1,Gender_Person2,Personality_Person1,Personality_Person2,Communication_Level,Emotional_Intelligence,Trust_Level,Common_Interests_Score,Physical_Attraction_Score,Mutual_Respect_Score,Conflict_Resolution_Skills,Love_Probability
Female,Other,Ambivert,Extrovert,High,Medium,Medium,9,3,0,Good,0.48
Male,Female,Ambivert,Ambivert,High,High,High,1,8,3,Good,0.43
Male,Male,Ambivert,Introvert,High,Low,Low,9,2,6,Excellent,0.62
Other,Female,Ambivert,Ambivert,High,Low,High,5,2,7,Poor,0.56
Female,Male,Introvert,Extrovert,Low,Medium,High,5,10,1,Good,0.5
Male,Male,Extrovert,Ambivert,Medium,Medium,Medium,10,3,5,Poor,0.54
Male,Female,Ambivert,Introvert,High,Low,Low,1,5,6,Poor,0.29
Female,Male,Extrovert,Extrovert,Medium,Medium,High,7,7,6,Excellent,0.58
Other,Female,Ambivert,Introvert,Medium,High,High,6,2,9,Poor,0.86
Other,Female,Extrovert,Ambivert,Medium,Medium,Medium,0,9,9,Poor,0.72
Other,Male,Ambivert,Introvert,High,High,Low,9,8,5,Good,0.6
Male,Other,Introvert,Ambivert,High,Low,Low,5,2,1,Poor,0.13
Male,Other,Ambivert,Extrovert,Low,Low,Medium,4,2,10,Good,0.58
Female,Female,Ambivert,Ambivert,Low,Medium,Low,10,9,7,Poor,0.92
Female,Female,Introvert,Ambivert,Medium,Medium,Medium,10,9,5,Poor,0.85
Male,Other,Ambivert,Introvert,Low,High,High,2,1,7,Poor,0.31
Other,Female,Ambivert,Ambivert,Low,Low,Low,10,1,2,Good,0.42
Other,Other,Introvert,Ambivert,Low,Medium,High,7,0,5,Poor,0.43
Other,Female,Extrovert,Extrovert,High,Medium,High,6,7,2,Poor,0.51
Female,Other,Introvert,Introvert,High,Low,High,10,0,3,Poor,0.21
Other,Female,Extrovert,Ambivert,High,High,Low,3,9,7,Poor,0.61
Male,Female,Extrovert,Ambivert,High,High,Low,9,10,9,Poor,0.85
Male,Male,Extrovert,Extrovert,Low,High,Medium,5,2,8,Good,0.52
Female,Other,Introvert,Introvert,Medium,High,Low,10,5,8,Poor,1.0
Male,Other,Extrovert,Ambivert,High,Low,Medium,3,2,10,Good,0.54
Male,Other,Ambivert,Introvert,High,Low,High,9,1,0,Excellent,0.3
Other,Male,Ambivert,Extrovert,Medium,High,Low,5,5,1,Excellent,0.46
Other,Female,Introvert,Ambivert,High,Low,Low,5,8,1,Poor,0.51
Other,Male,Introvert,Extrovert,Medium,High,High,4,3,7,Excellent,0.51
Female,Male,Extrovert,Ambivert,Low,Medium,High,6,6,2,Good,0.53
Male,Male,Ambivert,Extrovert,Low,Low,Low,6,9,3,Excellent,0.81
Female,Male,Ambivert,Introvert,Low,High,Low,5,8,5,Good,0.49
Male,Female,Ambivert,Extrovert,Medium,Low,High,1,10,5,Good,0.58
Female,Male,Ambivert,Extrovert,Low,High,Medium,5,1,1,Good,0.14
Female,Male,Extrovert,Ambivert,Low,High,Low,2,8,3,Good,0.49
Female,Male,Extrovert,Introvert,High,Low,Low,6,10,6,Good,0.64
Male,Female,Introvert,Extrovert,High,Low,High,6,4,4,Excellent,0.42
Other,Other,Extrovert,Introvert,High,High,Low,7,5,10,Excellent,0.7
Female,Other,Ambivert,Extrovert,Medium,Medium,High,5,1,0,Excellent,0.3
Other,Other,Ambivert,Introvert,High,Medium,High,0,4,2,Good,0.29
Female,Male,Extrovert,Introvert,Low,High,Medium,10,4,10,Good,0.68
Female,Male,Ambivert,Ambivert,High,Low,Medium,3,0,9,Good,0.41
Other,Male,Extrovert,Extrovert,Medium,Medium,Low,10,9,10,Poor,0.9
Male,Other,Introvert,Introvert,Low,Low,Medium,9,8,7,Good,0.67
Female,Female,Introvert,Ambivert,High,Medium,Low,7,2,7,Excellent,0.51
Female,Female,Introvert,Introvert,Low,Medium,Low,8,1,1,Good,0.3
Female,Other,Introvert,Introvert,Medium,High,Low,8,8,1,Poor,0.81
Female,Male,Ambivert,Extrovert,Medium,Low,Low,5,8,3,Poor,0.58
Male,Male,Extrovert,Extrovert,Medium,Medium,High,4,1,3,Poor,0.13
Male,Other,Introvert,Ambivert,High,Medium,High,8,10,6,Excellent,0.74
Male,Other,Introvert,Extrovert,High,Medium,Medium,2,0,4,Excellent,0.3
Other,Male,Introvert,Introvert,Low,High,Low,10,5,7,Good,0.94
Male,Male,Extrovert,Extrovert,High,High,High,7,9,4,Excellent,0.51
Other,Male,Introvert,Extrovert,Medium,High,Low,10,1,0,Poor,0.18
Female,Other,Ambivert,Extrovert,High,Low,High,2,4,8,Good,0.65
Male,Other,Ambivert,Ambivert,Low,Medium,High,6,4,9,Good,0.67
Male,Male,Introvert,Extrovert,High,Medium,Medium,2,2,4,Excellent,0.18
Female,Other,Ambivert,Ambivert,High,High,Medium,1,1,8,Poor,0.39
Male,Male,Introvert,Extrovert,Medium,Low,Medium,1,6,3,Excellent,0.07
Female,Male,Introvert,Ambivert,Medium,Medium,Low,10,2,0,Excellent,0.4
Male,Male,Ambivert,Extrovert,High,Medium,Medium,2,1,9,Good,0.43
Male,Female,Ambivert,Ambivert,High,High,Medium,7,7,9,Good,0.86
Male,Male,Introvert,Extrovert,High,High,Medium,9,0,0,Good,0.2
Male,Other,Extrovert,Introvert,High,High,Low,7,2,2,Excellent,0.38
Male,Male,Ambivert,Extrovert,Low,High,Low,8,7,1,Poor,0.44
Female,Female,Introvert,Introvert,High,High,Medium,5,4,6,Excellent,0.53
Female,Male,Ambivert,Introvert,Low,High,Medium,0,7,4,Good,0.28
Male,Female,Introvert,Introvert,High,Medium,Medium,2,2,5,Excellent,0.26
Male,Other,Extrovert,Introvert,High,Medium,High,3,9,4,Excellent,0.43
Male,Other,Ambivert,Ambivert,High,Low,Medium,4,7,7,Excellent,0.67
Female,Other,Introvert,Introvert,Low,High,Medium,10,10,5,Good,0.92
Male,Male,Introvert,Extrovert,Medium,High,Low,7,9,4,Poor,0.64
Other,Male,Ambivert,Introvert,Medium,Medium,Low,5,9,8,Good,0.74
Male,Female,Introvert,Introvert,High,High,Low,10,1,5,Poor,0.39
Other,Male,Introvert,Extrovert,Low,Medium,Low,4,9,8,Good,0.67
Female,Female,Ambivert,Extrovert,Low,Low,Medium,2,3,7,Good,0.39
Male,Male,Ambivert,Ambivert,Medium,Medium,Medium,4,0,8,Poor,0.66
Male,Female,Ambivert,Ambivert,High,Low,High,9,0,7,Good,0.42
Other,Other,Introvert,Introvert,Medium,Medium,High,0,6,9,Poor,0.65
Other,Other,Introvert,Extrovert,Low,Low,Low,2,3,5,Excellent,0.43
Female,Other,Extrovert,Ambivert,Medium,Medium,Medium,0,8,2,Excellent,0.36
Male,Other,Ambivert,Extrovert,Medium,Medium,Medium,2,2,0,Excellent,0.31
Male,Male,Introvert,Ambivert,Low,Medium,Low,2,0,5,Good,0.27
Male,Male,Introvert,Introvert,High,High,High,8,8,6,Excellent,0.77
Female,Other,Ambivert,Extrovert,Medium,High,Low,1,9,0,Excellent,0.33
Other,Other,Ambivert,Ambivert,High,High,Medium,1,6,0,Excellent,0.36
Other,Male,Extrovert,Ambivert,Low,Low,High,3,2,10,Good,0.61
Male,Female,Ambivert,Ambivert,Low,Low,Low,7,9,0,Good,0.47
Male,Other,Ambivert,Extrovert,Medium,Low,High,8,6,7,Good,0.57
Female,Male,Introvert,Introvert,High,Low,Low,8,4,10,Excellent,0.71
Male,Female,Introvert,Introvert,Low,High,Medium,1,1,8,Excellent,0.25
Female,Male,Ambivert,Ambivert,Low,Low,Medium,4,5,8,Excellent,0.56
Other,Female,Introvert,Introvert,High,Low,Medium,10,0,1,Good,0.49
Male,Female,Introvert,Extrovert,Medium,Medium,High,7,5,6,Poor,0.55
Other,Other,Extrovert,Extrovert,Low,Low,Medium,6,6,7,Excellent,0.63
Other,Male,Introvert,Introvert,Low,High,Medium,10,0,2,Poor,0.41
Other,Male,Ambivert,Ambivert,High,High,Low,3,8,7,Poor,0.68
Female,Male,Introvert,Extrovert,High,High,Low,5,8,1,Good,0.24
Female,Other,Extrovert,Introvert,Medium,High,Medium,10,3,6,Good,0.57
Male,Male,Extrovert,Extrovert,High,High,Medium,1,2,9,Excellent,0.42
Other,Male,Ambivert,Ambivert,Medium,High,Low,1,10,6,Excellent,0.69
Other,Male,Ambivert,Extrovert,Medium,Low,High,4,10,6,Excellent,0.62
Male,Male,Extrovert,Ambivert,High,High,High,4,6,6,Excellent,0.35
Male,Male,Introvert,Ambivert,High,Low,High,7,1,0,Excellent,0.33
Other,Other,Introvert,Introvert,High,Low,Low,10,6,1,Good,0.5
Male,Male,Introvert,Ambivert,Medium,Low,Low,5,0,7,Poor,0.28
Female,Female,Extrovert,Introvert,Low,Medium,Medium,6,0,4,Poor,0.27
Male,Male,Extrovert,Extrovert,High,Low,Medium,6,0,1,Poor,0.21
Male,Female,Introvert,Introvert,Medium,Medium,Low,10,3,4,Good,0.51
Male,Female,Introvert,Extrovert,Low,Medium,High,7,6,8,Excellent,0.48
Male,Female,Introvert,Ambivert,Low,High,Medium,10,2,6,Good,0.69
Male,Other,Extrovert,Extrovert,Low,Medium,Medium,6,2,2,Good,0.46
Male,Other,Extrovert,Extrovert,Low,Medium,Low,4,9,4,Good,0.63
Female,Male,Ambivert,Introvert,Low,High,Low,3,5,0,Excellent,0.15
Female,Male,Ambivert,Extrovert,Low,Low,Medium,4,2,2,Excellent,0.25
Female,Female,Introvert,Extrovert,High,Medium,Low,6,6,8,Excellent,0.67
Male,Male,Introvert,Extrovert,Low,Medium,Medium,9,5,2,Good,0.59
Female,Other,Introvert,Introvert,Medium,Low,Low,4,4,10,Excellent,0.67
Male,Male,Ambivert,Ambivert,Low,Medium,High,8,8,1,Poor,0.49
Male,Female,Introvert,Introvert,Low,Medium,High,4,3,5,Poor,0.41
Other,Female,Ambivert,Ambivert,High,Low,High,8,8,4,Poor,0.71
Female,Other,Introvert,Extrovert,Medium,Medium,High,5,1,1,Excellent,0.38
Male,Male,Introvert,Extrovert,Medium,High,Low,4,1,2,Excellent,0.3
Male,Male,Ambivert,Extrovert,High,Medium,Low,8,6,0,Excellent,0.55
Female,Male,Introvert,Ambivert,Low,Low,Low,6,0,0,Excellent,0.21
Male,Male,Ambivert,Introvert,High,Low,Medium,8,9,9,Poor,1.0
Male,Male,Introvert,Extrovert,High,High,High,4,7,1,Excellent,0.44
Male,Other,Extrovert,Ambivert,High,Low,Medium,10,8,6,Excellent,0.71
Other,Male,Ambivert,Extrovert,High,Medium,Low,9,0,8,Good,0.71
Male,Other,Ambivert,Extrovert,Low,Medium,Low,5,5,0,Poor,0.4
Male,Male,Introvert,Extrovert,Medium,High,Medium,8,2,1,Excellent,0.32
Female,Male,Ambivert,Ambivert,Low,Medium,Low,0,7,2,Good,0.25
Other,Male,Ambivert,Introvert,Medium,High,Medium,1,6,0,Poor,0.26
Other,Other,Introvert,Ambivert,Medium,High,High,3,10,9,Poor,0.78
Other,Female,Extrovert,Extrovert,Medium,High,Low,3,7,5,Excellent,0.52
Male,Female,Extrovert,Ambivert,High,High,High,4,8,0,Poor,0.43
Other,Other,Ambivert,Extrovert,Medium,Medium,Low,0,0,2,Poor,0.24
Female,Other,Extrovert,Introvert,High,High,Medium,2,2,1,Good,0.27
Other,Male,Extrovert,Ambivert,Low,Medium,Low,5,7,4,Good,0.55
Other,Female,Introvert,Extrovert,Medium,Low,Low,5,1,6,Poor,0.49
Other,Male,Introvert,Ambivert,Medium,Low,Low,2,1,5,Excellent,0.16
Other,Male,Extrovert,Extrovert,High,Medium,High,0,7,0,Excellent,0.27
Male,Female,Introvert,Ambivert,Low,Medium,High,4,3,1,Poor,0.45
Other,Male,Ambivert,Introvert,Medium,Low,Medium,8,1,3,Excellent,0.38
Male,Female,Introvert,Ambivert,Medium,Low,High,0,5,3,Excellent,0.18
Male,Male,Extrovert,Introvert,Medium,Medium,Low,5,8,6,Poor,0.57
Female,Female,Ambivert,Introvert,High,Low,Low,5,3,4,Poor,0.29
Male,Male,Introvert,Extrovert,High,High,Medium,7,6,4,Excellent,0.49
Female,Other,Ambivert,Extrovert,High,Medium,Medium,3,8,5,Good,0.5
Other,Male,Introvert,Ambivert,High,Medium,Medium,5,1,2,Excellent,0.13
Other,Female,Ambivert,Extrovert,Low,High,Medium,5,4,2,Good,0.37
Other,Male,Ambivert,Ambivert,Medium,High,High,6,0,2,Good,0.36
Female,Female,Ambivert,Extrovert,Medium,Medium,Medium,7,2,0,Good,0.21
Male,Female,Introvert,Introvert,Medium,High,High,8,7,1,Good,0.69
Female,Female,Ambivert,Extrovert,Low,Low,High,7,10,0,Excellent,0.62
Male,Female,Extrovert,Extrovert,High,Low,High,2,7,4,Excellent,0.54
Female,Other,Extrovert,Ambivert,Medium,Low,High,6,0,2,Poor,0.2
Male,Female,Extrovert,Extrovert,Low,Low,Medium,2,7,2,Poor,0.45
Other,Female,Introvert,Extrovert,Medium,Medium,Medium,2,0,7,Poor,0.19
Female,Other,Introvert,Introvert,Medium,High,Low,3,5,3,Poor,0.46
Other,Female,Extrovert,Extrovert,Low,High,Medium,9,2,3,Poor,0.48
Female,Other,Ambivert,Extrovert,Low,High,Medium,10,0,4,Poor,0.52
Other,Female,Ambivert,Ambivert,High,High,High,5,5,3,Good,0.32
Male,Female,Introvert,Ambivert,Low,Low,High,7,3,9,Good,0.54
Other,Male,Extrovert,Ambivert,Medium,Medium,Medium,0,5,3,Poor,0.33
Other,Other,Extrovert,Extrovert,Medium,High,Low,7,8,9,Good,0.71
Female,Other,Extrovert,Extrovert,Medium,High,Medium,1,9,0,Excellent,0.38
Other,Female,Introvert,Introvert,Medium,High,Medium,2,7,3,Excellent,0.26
Male,Other,Introvert,Introvert,Low,High,Medium,1,1,1,Good,0.18
Female,Other,Extrovert,Extrovert,Low,High,Medium,1,6,2,Excellent,0.18
Female,Male,Ambivert,Ambivert,Medium,High,Medium,4,8,6,Poor,0.66
Other,Male,Introvert,Extrovert,High,High,Medium,9,0,3,Poor,0.46
Male,Male,Introvert,Introvert,Low,Medium,Low,8,0,1,Good,0.23
Male,Other,Extrovert,Extrovert,Medium,High,High,6,8,0,Excellent,0.52
Female,Female,Introvert,Introvert,High,Medium,High,7,0,5,Poor,0.43
Male,Male,Extrovert,Ambivert,High,High,High,6,7,2,Good,0.45
Female,Female,Ambivert,Introvert,High,Medium,High,9,4,7,Good,0.57
Male,Other,Introvert,Ambivert,High,Low,High,6,5,4,Excellent,0.3
Male,Female,Ambivert,Ambivert,Low,Low,Medium,1,9,3,Poor,0.47
Other,Male,Introvert,Extrovert,Low,High,Medium,2,8,1,Excellent,0.21
Other,Male,Extrovert,Introvert,Medium,Low,High,4,9,6,Excellent,0.64
Male,Female,Ambivert,Extrovert,Medium,Medium,Low,5,2,7,Excellent,0.44
Other,Other,Extrovert,Extrovert,High,Low,Medium,4,9,10,Poor,0.83
Female,Male,Extrovert,Ambivert,High,Low,Low,6,4,0,Good,0.3
Other,Female,Extrovert,Extrovert,High,High,High,8,0,10,Poor,0.57
Male,Other,Introvert,Ambivert,High,High,High,1,5,4,Excellent,0.41
Other,Male,Extrovert,Extrovert,Low,Low,High,9,3,2,Excellent,0.5
Female,Male,Introvert,Introvert,High,High,High,3,5,1,Excellent,0.33
Male,Female,Ambivert,Extrovert,Medium,High,High,9,3,5,Good,0.61
Female,Other,Ambivert,Introvert,High,Medium,Low,8,8,8,Good,0.65
Other,Male,Ambivert,Introvert,High,High,High,4,3,6,Excellent,0.51
Other,Female,Introvert,Introvert,Low,High,Medium,9,8,10,Excellent,0.96
Male,Male,Extrovert,Extrovert,High,High,Low,0,7,5,Poor,0.3
Female,Female,Ambivert,Ambivert,Low,High,High,1,2,3,Good,0.18
Female,Male,Introvert,Extrovert,Medium,Medium,Low,5,4,2,Excellent,0.36
Male,Female,Introvert,Ambivert,Medium,Low,High,9,3,7,Good,0.62
Other,Male,Ambivert,Introvert,High,Medium,Medium,1,3,1,Good,0.2
Female,Male,Ambivert,Extrovert,High,Medium,Medium,7,5,2,Poor,0.61
Other,Other,Extrovert,Extrovert,Medium,High,High,0,9,6,Excellent,0.61
Female,Male,Introvert,Introvert,Low,Low,High,10,8,4,Good,0.6
Male,Female,Introvert,Introvert,High,Low,High,1,5,3,Good,0.36
Female,Male,Extrovert,Introvert,Medium,High,Low,2,1,9,Poor,0.53
Male,Female,Introvert,Ambivert,High,Low,Medium,7,9,7,Poor,0.81
Male,Female,Extrovert,Ambivert,High,Medium,Low,4,2,2,Excellent,0.38
Other,Other,Introvert,Ambivert,Medium,Low,Low,5,8,1,Poor,0.67
Male,Other,Introvert,Extrovert,Low,Medium,Medium,0,6,7,Poor,0.54
Female,Other,Introvert,Introvert,High,High,Low,9,8,6,Good,0.79
Male,Female,Ambivert,Introvert,High,Medium,Medium,8,10,4,Good,0.84
Female,Male,Ambivert,Extrovert,Low,Low,Medium,8,8,3,Poor,0.65
Other,Male,Extrovert,Ambivert,Medium,Low,Medium,2,6,2,Excellent,0.34
Other,Other,Extrovert,Extrovert,Medium,High,Low,9,2,5,Good,0.5
Male,Other,Extrovert,Ambivert,Medium,High,Low,6,2,8,Excellent,0.69
Male,Male,Extrovert,Introvert,High,Low,High,5,10,10,Good,0.75
Male,Female,Extrovert,Introvert,Low,Medium,High,9,4,2,Poor,0.65
Male,Male,Introvert,Introvert,High,Medium,High,4,9,9,Excellent,0.78
Other,Male,Introvert,Ambivert,Low,Low,Medium,6,2,7,Excellent,0.36
Male,Female,Extrovert,Introvert,Medium,Medium,High,9,5,6,Excellent,0.7
Male,Male,Extrovert,Extrovert,Low,High,High,3,9,1,Excellent,0.22
Other,Male,Ambivert,Introvert,High,Medium,High,8,9,2,Excellent,0.7
Male,Female,Extrovert,Introvert,High,Low,High,6,0,0,Good,0.29
Male,Other,Introvert,Extrovert,Medium,Low,High,5,6,4,Good,0.44
Male,Other,Ambivert,Extrovert,High,Medium,Medium,2,6,4,Excellent,0.41
Other,Other,Ambivert,Extrovert,High,High,Low,5,3,7,Excellent,0.7
Male,Female,Extrovert,Introvert,Medium,Medium,Low,2,3,10,Excellent,0.45
Male,Male,Extrovert,Introvert,High,Low,Low,4,4,1,Good,0.19
Female,Male,Introvert,Ambivert,High,Medium,Medium,4,4,1,Poor,0.45
Male,Female,Introvert,Extrovert,Medium,Low,Medium,8,5,7,Good,0.86
Male,Female,Ambivert,Introvert,Medium,Low,Medium,2,9,0,Good,0.37
Female,Male,Extrovert,Extrovert,Medium,High,Low,8,7,0,Excellent,0.6
Female,Other,Ambivert,Ambivert,High,High,Medium,2,0,2,Good,0.27
Other,Male,Extrovert,Extrovert,Medium,Medium,High,7,2,3,Good,0.33
Female,Female,Extrovert,Introvert,Low,Medium,Low,4,7,9,Excellent,0.62
Male,Female,Extrovert,Ambivert,Medium,Low,High,6,2,6,Poor,0.59
Other,Male,Extrovert,Ambivert,Medium,High,High,8,6,4,Excellent,0.77
Other,Male,Introvert,Ambivert,Medium,High,Low,5,10,5,Good,0.72
Other,Female,Introvert,Introvert,Medium,Low,Medium,3,5,9,Poor,0.48
Male,Male,Ambivert,Introvert,Medium,Low,High,4,10,6,Excellent,0.87
Female,Female,Ambivert,Ambivert,Medium,Low,High,4,3,7,Poor,0.41
Other,Female,Extrovert,Introvert,Medium,High,Medium,6,1,8,Good,0.47
Other,Female,Extrovert,Extrovert,Medium,Medium,High,10,6,3,Good,0.67
Other,Male,Extrovert,Ambivert,Medium,Low,High,8,5,8,Poor,0.86
Other,Other,Introvert,Introvert,High,Medium,Medium,2,9,1,Excellent,0.49
Other,Female,Extrovert,Introvert,Low,Medium,Low,8,6,0,Good,0.51
Male,Female,Extrovert,Extrovert,High,Medium,High,3,3,7,Good,0.48
Female,Other,Ambivert,Introvert,High,High,Medium,7,10,7,Poor,0.8
Male,Male,Extrovert,Extrovert,Low,High,Low,2,2,2,Good,0.26
Female,Female,Ambivert,Ambivert,Medium,High,Low,0,8,7,Poor,0.25
Other,Other,Extrovert,Extrovert,High,Low,Medium,10,9,0,Good,0.6
Female,Male,Ambivert,Extrovert,High,Medium,Low,2,8,9,Poor,0.66
Female,Female,Introvert,Ambivert,Medium,Low,Medium,0,10,10,Good,0.55
Other,Male,Introvert,Introvert,Low,Medium,High,4,10,8,Good,0.77
Other,Male,Ambivert,Extrovert,Low,Low,Medium,0,6,6,Excellent,0.38
Male,Male,Introvert,Extrovert,High,Low,Low,0,7,3,Poor,0.51
Other,Male,Ambivert,Ambivert,High,Low,Low,8,2,7,Excellent,0.72
Other,Male,Extrovert,Ambivert,Medium,High,High,7,1,7,Poor,0.45
Male,Other,Extrovert,Extrovert,Low,Medium,High,6,9,4,Excellent,0.62
Male,Male,Ambivert,Ambivert,Low,Low,Low,10,3,1,Poor,0.46
Male,Female,Extrovert,Ambivert,Low,Low,Low,0,1,4,Good,0.12
Other,Other,Extrovert,Extrovert,High,Medium,Low,2,1,9,Good,0.42
Other,Female,Introvert,Introvert,Medium,Medium,Low,8,2,4,Excellent,0.39
Other,Other,Ambivert,Extrovert,Low,High,High,2,10,1,Good,0.32
Other,Other,Introvert,Extrovert,Medium,Low,High,6,10,6,Poor,0.8
Female,Other,Introvert,Ambivert,High,Medium,Low,8,9,0,Excellent,0.63
Female,Other,Extrovert,Ambivert,Low,Low,High,10,8,1,Good,0.55
Male,Male,Extrovert,Introvert,High,Medium,High,9,2,6,Poor,0.66
Female,Male,Extrovert,Introvert,High,High,Low,10,8,0,Poor,0.54
Other,Male,Extrovert,Introvert,Medium,High,Low,2,9,6,Poor,0.59
Male,Other,Extrovert,Extrovert,Low,Medium,High,10,0,7,Excellent,0.65
Other,Other,Ambivert,Ambivert,Medium,Low,High,10,10,7,Poor,0.9
Female,Male,Introvert,Extrovert,Low,High,Medium,9,10,1,Poor,0.71
Other,Female,Introvert,Introvert,Medium,Medium,Medium,2,0,8,Excellent,0.28
Other,Male,Introvert,Introvert,Low,High,Medium,0,10,2,Good,0.38
Male,Other,Extrovert,Extrovert,Medium,High,Medium,9,6,10,Poor,0.81
Male,Other,Extrovert,Extrovert,Low,Low,Medium,0,1,2,Excellent,0.03
Other,Other,Extrovert,Ambivert,Low,High,Medium,2,10,5,Excellent,0.55
Female,Other,Introvert,Ambivert,High,High,High,7,5,3,Excellent,0.35
Male,Other,Extrovert,Ambivert,Medium,Medium,Low,0,3,9,Good,0.35
Other,Female,Introvert,Introvert,Medium,High,Medium,5,2,4,Excellent,0.34
Female,Female,Introvert,Ambivert,Medium,Medium,Low,1,8,7,Good,0.51
Female,Other,Introvert,Introvert,Medium,Low,Medium,8,8,2,Excellent,0.58
Female,Other,Ambivert,Extrovert,Medium,High,Low,5,4,6,Good,0.49
Male,Male,Introvert,Introvert,Medium,High,Medium,6,7,9,Poor,0.78
Other,Female,Extrovert,Ambivert,High,High,Medium,9,4,9,Good,0.82
Other,Male,Introvert,Ambivert,High,Medium,High,9,8,6,Excellent,0.7
Male,Female,Ambivert,Ambivert,High,High,Medium,6,6,1,Good,0.31
Other,Other,Extrovert,Introvert,High,Medium,Medium,9,9,9,Poor,0.8
Male,Other,Ambivert,Ambivert,Low,Low,High,3,5,8,Poor,0.48
Female,Female,Ambivert,Ambivert,Medium,Low,Medium,7,9,2,Good,0.56
Female,Male,Extrovert,Introvert,High,Medium,Low,2,0,8,Good,0.26
Other,Male,Introvert,Extrovert,High,Low,Low,3,9,1,Excellent,0.3
Male,Female,Introvert,Introvert,High,High,Medium,4,0,10,Poor,0.42
Other,Female,Extrovert,Introvert,Low,Low,Low,1,4,10,Poor,0.52
Male,Male,Extrovert,Ambivert,Low,High,High,4,1,0,Excellent,0.23
Other,Other,Extrovert,Extrovert,High,Low,Low,7,2,0,Poor,0.24
Other,Other,Extrovert,Ambivert,Medium,Low,Medium,4,2,10,Poor,0.49
Male,Female,Introvert,Extrovert,Low,Low,Low,2,0,8,Excellent,0.24
Male,Female,Introvert,Introvert,Low,Medium,Medium,6,9,1,Poor,0.53
Female,Other,Ambivert,Extrovert,High,Low,Low,0,10,5,Good,0.42
Other,Male,Introvert,Introvert,Medium,Low,Medium,3,10,0,Good,0.49
Other,Female,Extrovert,Introvert,Low,Medium,Low,5,7,2,Poor,0.29
Other,Other,Extrovert,Introvert,Medium,High,Medium,7,4,1,Poor,0.36
Male,Female,Introvert,Introvert,Low,High,Medium,10,9,5,Good,0.83
Male,Male,Introvert,Extrovert,Medium,Medium,High,10,2,1,Good,0.45
Female,Male,Introvert,Extrovert,High,Low,Low,2,0,2,Poor,0.4
Female,Other,Ambivert,Ambivert,Low,Low,High,9,3,8,Good,0.7
Male,Male,Extrovert,Introvert,High,Medium,Low,2,4,4,Good,0.23
Female,Female,Ambivert,Ambivert,High,Medium,Medium,6,0,7,Poor,0.42
Other,Female,Introvert,Introvert,Medium,High,High,7,6,5,Excellent,0.42
Other,Male,Extrovert,Ambivert,High,Low,Low,5,1,7,Poor,0.43
Male,Other,Introvert,Ambivert,Low,Medium,High,4,5,6,Excellent,0.42
Female,Male,Ambivert,Introvert,Low,Medium,Low,0,5,5,Poor,0.42
Other,Male,Ambivert,Ambivert,High,Medium,Medium,4,4,9,Good,0.51
Other,Female,Introvert,Ambivert,Low,High,Medium,0,10,7,Good,0.55
Male,Male,Extrovert,Introvert,Low,High,High,4,5,4,Excellent,0.37
Other,Female,Introvert,Introvert,Low,Low,Low,2,2,1,Poor,0.34
Male,Other,Introvert,Ambivert,Medium,Medium,High,0,3,8,Good,0.33
Other,Other,Extrovert,Ambivert,Medium,Low,Low,0,10,7,Poor,0.75
Other,Male,Introvert,Extrovert,Medium,High,Low,5,1,6,Good,0.48
Other,Female,Ambivert,Ambivert,High,High,Low,3,5,6,Excellent,0.51
Male,Male,Introvert,Ambivert,Medium,Medium,Medium,0,8,8,Excellent,0.57
Female,Female,Introvert,Ambivert,Low,Low,Low,7,0,9,Excellent,0.57
Male,Other,Ambivert,Introvert,Low,Low,Low,1,8,10,Good,0.44
Male,Male,Introvert,Introvert,Low,High,Medium,6,1,1,Good,0.24
Other,Female,Ambivert,Extrovert,Low,High,Medium,2,6,3,Excellent,0.45
Other,Male,Introvert,Ambivert,Low,Medium,High,4,7,10,Poor,0.7
Male,Male,Introvert,Extrovert,High,Low,Medium,10,0,7,Good,0.43
Female,Female,Ambivert,Extrovert,Medium,Medium,Low,0,8,10,Poor,0.59
Male,Other,Introvert,Introvert,Medium,High,Medium,6,1,9,Poor,0.7
Female,Other,Introvert,Ambivert,Medium,Medium,Medium,6,6,2,Good,0.59
Male,Male,Extrovert,Ambivert,Low,Medium,High,5,3,0,Excellent,0.26
Other,Female,Introvert,Ambivert,Low,Medium,High,2,5,7,Poor,0.56
Female,Male,Introvert,Extrovert,Low,Medium,High,5,0,6,Excellent,0.33
Male,Female,Extrovert,Introvert,Medium,High,Medium,0,2,8,Poor,0.16
Male,Other,Ambivert,Extrovert,Medium,High,Low,8,9,1,Excellent,0.51
Male,Other,Introvert,Ambivert,High,High,High,3,10,0,Excellent,0.59
Female,Male,Introvert,Ambivert,Medium,Medium,High,3,7,5,Poor,0.47
Female,Other,Ambivert,Extrovert,High,High,Low,10,2,6,Excellent,0.58
Male,Other,Ambivert,Ambivert,Medium,High,High,7,5,7,Good,0.6
Other,Female,Extrovert,Extrovert,Low,Low,High,0,5,4,Poor,0.49
Other,Other,Extrovert,Ambivert,Medium,Medium,High,8,1,1,Poor,0.5
Male,Other,Ambivert,Introvert,Low,Low,Low,6,5,10,Good,0.92
Other,Male,Extrovert,Extrovert,Medium,Medium,Medium,2,2,9,Poor,0.42
Female,Male,Introvert,Extrovert,Low,Medium,High,5,6,6,Excellent,0.6
Male,Female,Introvert,Extrovert,High,Medium,Low,6,0,7,Excellent,0.28
